Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1210_3225Metric,57.0,-76.708,0.0,top
C2,3.3nF,C_0402_1005Metric,50.292,-55.88,90.0,top
C5,220pF,C_0402_1005Metric,43.18,-62.992,90.0,top
D1,1N4148WS,D_SOD-323,52.324,-80.264,180.0,top
D2,1N4148WS,D_SOD-323,41.656,-67.564,0.0,top
J1,JST_XH_S3B-XH-A-1_01x03,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,44.704,-73.66,180.0,top
J2,Conn_01x19_Female_1_to_19,PinSocket_1x19_P2.54mm_Vertical,36.82632,-57.56384,90.0,top
J3,Conn_01x19_Female_20_to_38,PinSocket_1x19_P2.54mm_Vertical,62.23,-57.56384,90.0,top
R1,330k,R_0805_2012Metric,53.34,-65.024,-90.0,top
R2,100k,R_0805_2012Metric,53.34,-61.468,-90.0,top
R3,100k,R_0805_2012Metric,56.896,-63.0955,-90.0,top
R4,4.7k,R_0805_2012Metric,52.324,-70.104,180.0,top
R5,1k,R_0805_2012Metric,41.148,-65.532,180.0,top
U1,TPS82130,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm_ThermalVias,49.276,-59.436,0.0,top
U2,TJA1027,SOIC-8_3.9x4.9mm_P1.27mm,47.717,-65.913,90.0,top
